ID	Name	type	cost	attack	health	durability	text	inPlayText	mechanics	playerClass	rarity
EX1_407	Brawl	Spell	5				Destroy all minions except one. <i>(chosen randomly)</i>			Warrior	
EX1_091	Cabal Shadow Priest	Minion	6	4	5		<b>Battlecry:</b> Take control of an enemy minion that has 2 or less Attack.		Battlecry	Priest	
EX1_110	Cairne Bloodhoof	Minion	6	4	5		<b>Deathrattle:</b> Summon a 4/5 Baine Bloodhoof.		Deathrattle		
NEW1_024	Captain Greenskin	Minion	5	5	4		<b>Battlecry:</b> Give your weapon +1/+1.		Battlecry		Pirate
EX1_165a	Cat Form	Spell					<b>Charge</b>			Druid	
EX1_573	Cenarius	Minion	9	5	8		<b>Choose One</b> - Give your other minions +2/+2; or Summon two 2/2 Treants with <b>Taunt</b>.	Demigod		Druid	
EX1_621	Circle of Healing	Spell	0				Restore #4 Health to ALL minions.			Priest	
CS2_073e	Cold Blood	Enchantment					+2 Attack.			Rogue	
CS2_073e2	Cold Blood	Enchantment					+4 Attack.			Rogue	
CS2_073	Cold Blood	Spell	1				Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.		Combo	Rogue	
EX1_050	Coldlight Oracle	Minion	3	2	2		<b>Battlecry:</b> Each player draws 2 cards.		Battlecry		Murloc
EX1_103	Coldlight Seer	Minion	3	2	3		<b>Battlecry:</b> Give ALL other Murlocs +2 Health.		Battlecry		Murloc
NEW1_036e2	Commanding Shout	Enchantment					Your minions can't be reduced below 1 Health this turn.		OneTurnEffect	Warrior	
NEW1_036e	Commanding Shout	Enchantment					Can't be reduced below 1 Health this turn.		OneTurnEffect	Warrior	
NEW1_036	Commanding Shout	Spell	2				Your minions can't be reduced below 1 Health this turn. Draw a card.			Warrior	
EX1_128	Conceal	Spell	1				Give your minions <b>Stealth</b> until your next turn.			Rogue	
EX1_128e	Concealed	Enchantment					Stealthed until your next turn.			Rogue	
EX1_275	Cone of Cold	Spell	4				<b>Freeze</b> a minion and the minions next to it, and deal $1 damage to them.		Freeze	Mage	
EX1_304e	Consume	Enchantment					Increased stats.			Warlock	
EX1_287	Counterspell	Spell	3				<b>Secret:</b> When your opponent casts a spell, <b>Counter</b> it.		Secret	Mage	
EX1_059	Crazed Alchemist	Minion	2	2	2		<b>Battlecry:</b> Swap the Attack and Health of a minion.		Battlecry		
EX1_603	Cruel Taskmaster	Minion	2	2	2		<b>Battlecry:</b> Deal 1 damage to a minion and give it +2 Attack.		Battlecry	Warrior	
EX1_595	Cult Master	Minion	4	4	2		Whenever one of your other minions dies, draw a card.	Cultist			
EX1_046	Dark Iron Dwarf	Minion	4	4	4		<b>Battlecry:</b> Give a minion +2 Attack this turn.		Battlecry		
EX1_617	Deadly Shot	Spell	3				Destroy a random enemy minion.			Hunter	
NEW1_030	Deathwing	Minion	10	12	12		<b>Battlecry:</b> Destroy all other minions and discard your hand.		Battlecry		Dragon
EX1_130a	Defender	Minion	1	2	1					Paladin	
EX1_093	Defender of Argus	Minion	4	2	3		<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.		Battlecry		
EX1_131t	Defias Bandit	Minion	1	2	1					Rogue	
EX1_131	Defias Ringleader	Minion	2	2	2		<b>Combo:</b> Summon a 2/1 Defias Bandit.		Combo	Rogue	
EX1_573a	Demigod's Favor	Spell					Give your other minions +2/+2.			Druid	
EX1_573ae	Demigod's Favor	Enchantment					+2/+2.			Druid	
EX1_102	Demolisher	Minion	3	1	4		At the start of your turn, deal 2 damage to a random enemy.	Catapult			Mech
EX1_596	Demonfire	Spell	2				Deal $2 damage to a minion. If itâ€™s a friendly Demon, give it +2/+2 instead.			Warlock	
EX1_596e	Demonfire	Enchantment	0				This Demon has +2/+2.			Warlock	
EX1_162	Dire Wolf Alpha	Minion	2	2	2		Adjacent minions have +1 Attack.	Alpha Dog	AdjacentBuff,Aura		Beast
EX1_166b	Dispel	Spell					<b>Silence</b> a minion.		Silence	Druid	
EX1_349	Divine Favor	Spell	3				Draw cards until you have as many in hand as your opponent.			Paladin	
EX1_310	Doomguard	Minion	5	5	7		<b>Charge</b>. <b>Battlecry:</b> Discard two random cards.		Battlecry,Charge	Warlock	Demon
EX1_567	Doomhammer	Weapon	5	2		8	<b>Windfury, Overload:</b> (2)		Windfury	Shaman	
NEW1_021	Doomsayer	Minion	2	0	7		At the start of your turn, destroy ALL minions.				
NEW1_022	Dread Corsair	Minion	4	3	3		<b>Taunt.</b> Costs (1) less per Attack of your weapon.		Taunt		Pirate
DREAM_04	Dream	Spell	0				Return a minion to its owner's hand.			Dream	
EX1_165t2	Druid of the Claw	Minion	5	4	6		<b>Taunt</b>","race":"Beast		Taunt	Druid	Beast
EX1_165	Druid of the Claw	Minion	5	4	4		<b>Choose One -</b> <b>Charge</b>; or +2 Health and <b>Taunt</b>.			Druid	
EX1_165t1	Druid of the Claw	Minion	5	4	4		<b>Charge</b>","race":"Beast		Charge	Druid	Beast
EX1_243	Dust Devil	Minion	1	3	1		<b>Windfury</b>. <b>Overload:</b> (2)		Windfury	Shaman	
EX1_536	Eaglehorn Bow	Weapon	3	3		2	Whenever a friendly <b>Secret</b> is revealed, gain +1 Durability.			Hunter	
EX1_250	Earth Elemental	Minion	5	7	8		<b>Taunt</b>. <b>Overload:</b> (3)		Taunt	Shaman	
EX1_245	Earth Shock	Spell	1				<b>Silence</b> a minion, then deal $1 damage to it.		Silence	Shaman	
CS2_117	Earthen Ring Farseer	Minion	3	3	3		<b>Battlecry:</b> Restore 3 Health.		Battlecry		
EX1_613	Edwin VanCleef	Minion	3	2	2		<b>Combo:</b> Gain +2/+2 for each card played earlier this turn.		Combo	Rogue	
DREAM_03	Emerald Drake	Minion	4	7	6					Dream	Dragon
EX1_170	Emperor Cobra	Minion	3	2	3		Destroy any minion damaged by this minion.	Fanged	Poisonous		Beast
EX1_619	Equality	Spell	2				Change the Health of ALL minions to 1.			Paladin	
EX1_619e	Equality	Enchantment					Health changed to 1.			Paladin	
EX1_274	Ethereal Arcanist	Minion	4	3	3		If you control a <b>Secret</b> at the end of your turn, gain +2/+2.			Mage	
EX1_124	Eviscerate	Spell	2				Deal $2 damage. <b>Combo:</b> Deal $4 damage instead.		Combo	Rogue	
EX1_537	Explosive Shot	Spell	5				Deal $5 damage to a minion and $2 damage to adjacent ones.			Hunter	
EX1_610	Explosive Trap	Spell	2				<b>Secret:</b> When your hero is attacked, deal $2 damage to all enemies.		Secret	Hunter	
EX1_132	Eye for an Eye	Spell	1				<b>Secret:</b> When your hero takes damage, deal that much damage to the enemy hero.		Secret	Paladin	
EX1_564	Faceless Manipulator	Minion	5	3	3		<b>Battlecry:</b> Choose a minion and become a copy of it.		Battlecry		
NEW1_023	Faerie Dragon	Minion	2	3	2		Can't be targeted by spells or Hero Powers.				Dragon
CS2_053e	Far Sight	Enchantment					One of your cards costs (3) less.","artist":"Lars Grant-West			Shaman	
CS2_053	Far Sight	Spell	3				Draw a card. That card costs (3) less.			Shaman	
EX1_301	Felguard	Minion	3	3	5		<b>Taunt</b>. <b>Battlecry:</b> Destroy one of your Mana Crystals.		Battlecry,Taunt	Warlock	Demon
CS1_069	Fen Creeper	Minion	5	3	6		<b>Taunt</b>		Taunt		
EX1_248	Feral Spirit	Spell	3				Summon two 2/3 Spirit Wolves with <b>Taunt</b>. <b>Overload:</b> (2)			Shaman	
EX1_319	Flame Imp	Minion	1	3	2		<b>Battlecry:</b> Deal 3 damage to your hero.		Battlecry	Warlock	Demon
EX1_544	Flare	Spell	2				All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.			Hunter	
tt_004	Flesheating Ghoul	Minion	3	2	3		Whenever a minion dies, gain +1 Attack.	Cannibalism			
EX1_571	Force of Nature	Spell	6				Summon three 2/2 Treants with <b>Charge</b> that die at the end of the turn.			Druid	
EX1_251	Forked Lightning	Spell	1				Deal $2 damage to 2 random enemy minions. <b>Overload:</b> (2)			Shaman	
EX1_611	Freezing Trap	Spell	2				<b>Secret:</b> When an enemy minion attacks, return it to its owner's hand and it costs (2) more.		Secret	Hunter	
EX1_283	Frost Elemental	Minion	6	5	5		<b>Battlecry:</b> <b>Freeze</b> a character.		Battlecry,Freeze		
EX1_604	Frothing Berserker	Minion	3	2	4		Whenever a minion takes damage, gain +1 Attack.	Berserk		Warrior	
EX1_095	Gadgetzan Auctioneer	Minion	6	4	4		Whenever you cast a spell, draw a card.	Auctioning			
DS1_188	Gladiator's Longbow	Weapon	7	5		2	Your hero is <b>Immune</b> while attacking.			Hunter	
EX1_411	Gorehowl	Weapon	7	7		1	Attacking a minion costs 1 Attack instead of 1 Durability.			Warrior	
EX1_414	Grommash Hellscream	Minion	8	4	9		<b>Charge</b>\n<b>Enrage:</b> +6 Attack		Charge,Enrage	Warrior	
NEW1_038	Gruul	Minion	8	7	7		At the end of each turn, gain +1/+1 .	Growth			
EX1_558	Harrison Jones	Minion	5	5	4		<b>Battlecry:</b> Destroy your opponent's weapon and draw cards equal to its Durability.		Battlecry		
EX1_556	Harvest Golem	Minion	3	2	3		<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.		Deathrattle		Mech
EX1_137	Headcrack	Spell	3				Deal $2 damage to the enemy hero. <b>Combo:</b> Return this to your hand next turn.		Combo	Rogue	
EX1_409t	Heavy Axe	Weapon	1	1		3				Warrior	
NEW1_040	Hogger	Minion	6	4	4		At the end of your turn, summon a 2/2 Gnoll with <b>Taunt</b>.				
EX1_624	Holy Fire	Spell	6				Deal $5 damage. Restore #5 Health to your hero.			Priest	
EX1_365	Holy Wrath	Spell	5				Draw a card and deal damage equal to its cost.			Paladin	
EX1_538t	Hound	Minion	1	1	1		<b>Charge</b>","race":"Beast		Charge	Hunter	Beast
NEW1_017	Hungry Crab	Minion	1	1	2		<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.		Battlecry		Beast
EX1_534t	Hyena	Minion	2	2	2					Hunter	Beast
EX1_tk33	INFERNO!	Hero Power	2				<b>Hero Power</b>\nSummon a 6/6 Infernal.			Warlock	
EX1_289	Ice Barrier	Spell	3				<b>Secret:</b> When your hero is attacked, gain 8 Armor.		Secret	Mage	
EX1_295	Ice Block	Spell	3				<b>Secret:</b> When your hero takes fatal damage, prevent it and become <b>Immune</b> this turn.		Secret	Mage	
EX1_295o	Ice Block	Enchantment					Your hero is <b>Immune</b> this turn.		OneTurnEffect	Mage	
CS2_031	Ice Lance	Spell	1				<b>Freeze</b> a character. If it was already <b>Frozen</b>, deal $4 damage instead.		Freeze	Mage	
EX1_614	Illidan Stormrage	Minion	6	7	5		Whenever you play a card, summon a 2/1 Flame of Azzinoth.				Demon
EX1_597	Imp Master	Minion	3	1	5		At the end of your turn, deal 1 damage to this minion and summon a 1/1 Imp.	Imp Master			
EX1_tk34	Infernal	Minion	6	6	6					Warlock	Demon
EX1_623e	Infusion	Enchantment					+3 Health.			Priest	
CS2_181	Injured Blademaster	Minion	3	4	7		<b>Battlecry:</b> Deal 4 damage to HIMSELF.	Weakened	Battlecry		
CS1_129e	Inner Fire	Enchantment					This minion's Attack is equal to its Health.			Priest	
CS1_129	Inner Fire	Spell	1				Change a minion's Attack to be equal to its Health.			Priest	
EX1_607	Inner Rage	Spell	0				Deal $1 damage to a minion and give it +2 Attack.			Warrior	
EX1_607e	Inner Rage	Enchantment					+2 Attack.			Warrior	
CS2_203	Ironbeak Owl	Minion	2	2	1		<b>Battlecry:</b> <b>Silence</b> a minion.		Battlecry		Beast
EX1_017	Jungle Panther	Minion	3	4	2		<b>Stealth</b>		Stealth		Beast
EX1_366e	Justice Served	Enchantment					Has +1/+1.			Paladin	
EX1_166	Keeper of the Grove	Minion	4	2	4		<b>Choose One</b> - Deal 2 damage; or <b>Silence</b> a minion.			Druid	
NEW1_005	Kidnapper	Minion	6	5	3		<b>Combo:</b> Return a minion to its owner's hand.		Combo	Rogue	
EX1_543	King Krush	Minion	9	8	8		<b>Charge</b>		Charge	Hunter	Beast
EX1_014	King Mukla	Minion	3	5	5		<b>Battlecry:</b> Give your opponent 2 Bananas.		Battlecry		Beast
EX1_612	Kirin Tor Mage	Minion	3	4	3		<b>Battlecry:</b> The next <b>Secret</b> you play this turn costs (0).		Battlecry	Mage	
NEW1_019	Knife Juggler	Minion	2	3	2		After you summon a minion, deal 1 damage to a random enemy.	Juggler			
DREAM_01	Laughing Sister	Minion	3	3	5		Can't be targeted by spells or Hero Powers.	Quick		Dream	
EX1_241	Lava Burst	Spell	3				Deal $5 damage. <b>Overload:</b> (2)			Shaman	
EX1_354	Lay on Hands	Spell	8				Restore #8 Health. Draw 3 cards.			Paladin	
EX1_160b	Leader of the Pack	Spell					Give your minions +1/+1.			Druid	
EX1_160be	Leader of the Pack	Enchantment					+1/+1			Druid	
EX1_116	Leeroy Jenkins	Minion	5	6	2		<b>Charge</b>. <b>Battlecry:</b> Summon two 1/1 Whelps for your opponent.		Battlecry,Charge		
EX1_029	Leper Gnome	Minion	1	2	1		<b>Deathrattle:</b> Deal 2 damage to the enemy hero.		Deathrattle		
EX1_238	Lightning Bolt	Spell	1				Deal $3 damage. <b>Overload:</b> (1)			Shaman	
EX1_259	Lightning Storm	Spell	3				Deal $2-$3 damage to all enemy minions. <b>Overload:</b> (2)			Shaman	
EX1_335	Lightspawn	Minion	4	0	5		This minion's Attack is always equal to its Health.			Priest	
EX1_001	Lightwarden	Minion	1	1	2		Whenever a character is healed, gain +2 Attack.				
EX1_341	Lightwell	Minion	2	0	5		At the start of your turn, restore 3 Health to a damaged friendly character.	Healing		Priest	
EX1_096	Loot Hoarder	Minion	2	2	1		<b>Deathrattle:</b> Draw a card.		Deathrattle		
EX1_323h	Lord Jaraxxus	Hero	0	0	15					Warlock	Demon
EX1_323	Lord Jaraxxus	Minion	9	3	15		<b>Battlecry:</b> Destroy your hero and replace it with Lord Jaraxxus.		Battlecry	Warlock	Demon
EX1_100	Lorewalker Cho	Minion	2	0	4		Whenever a player casts a spell, put a copy into the other playerâ€™s hand.	Meditate			
EX1_082	Mad Bomber	Minion	2	3	2		<b>Battlecry:</b> Deal 3 damage randomly split between all other characters.		Battlecry		
EX1_563	Malygos	Minion	9	4	12		<b>Spell Damage +5</b>		Spellpower		Dragon
EX1_055	Mana Addict	Minion	2	1	3		Whenever you cast a spell, gain +2 Attack this turn.	Addicted			
NEW1_012o	Mana Gorged	Enchantment					Increased attack.			Mage	
EX1_575	Mana Tide Totem	Minion	3	0	3		At the end of your turn, draw a card.			Shaman	Totem
EX1_616	Mana Wraith	Minion	2	2	2		ALL minions cost (1) more.		Aura		
NEW1_012	Mana Wyrm	Minion	1	1	3		Whenever you cast a spell, gain +1 Attack.	Gorging		Mage	
EX1_155	Mark of Nature	Spell	3				<b>Choose One</b> - Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.			Druid	
EX1_155be	Mark of Nature	Enchantment					This minion has +4 Health and <b>Taunt</b>.			Druid	
EX1_155a	Mark of Nature	Spell					+4 Attack.			Druid	
EX1_155b	Mark of Nature	Spell					+4 Health and <b>Taunt</b>.			Druid	
EX1_155ae	Mark of Nature	Enchantment					This minion has +4 Attack.			Druid	
EX1_626	Mass Dispel	Spell	4				<b>Silence</b> all enemy minions. Draw a card.		Silence	Priest	
NEW1_037	Master Swordsmith	Minion	2	1	3		At the end of your turn, give another random friendly minion +1 Attack.	Smithing			
NEW1_014	Master of Disguise	Minion	4	4	4		<b>Battlecry:</b> Give a friendly minion <b>Stealth</b>.		Battlecry	Rogue	
NEW1_029	Millhouse Manastorm	Minion	2	4	4		<b>Battlecry:</b> Enemy spells cost (0) next turn.		Battlecry		
EX1_085	Mind Control Tech	Minion	3	3	3		<b>Battlecry:</b> If your opponent has 4 or more minions, take control of one at random.		Battlecry		
EX1_tk31	Mind Controlling	Enchantment							Summoned	Priest	
EX1_625t2	Mind Shatter	Hero Power	2				<b>Hero Power</b>\nDeal 3 damage.			Priest	
EX1_625t	Mind Spike	Hero Power	2				<b>Hero Power</b>\nDeal 2 damage.			Priest	
EX1_345	Mindgames	Spell	4				Put a copy of a random minion from your opponent's deck into the battlefield.			Priest	
EX1_294	Mirror Entity	Spell	3				<b>Secret:</b> When your opponent plays a minion, summon a copy of it.		Secret	Mage	
EX1_533	Misdirection	Spell	2				<b>Secret:</b> When a character attacks your hero, instead he attacks another random character.		Secret	Hunter	
EX1_396	Mogu'shan Warden	Minion	4	1	7		<b>Taunt</b>		Taunt		
EX1_620	Molten Giant	Minion	20	8	8		Costs (1) less for each damage your hero has taken.				
EX1_166a	Moonfire	Spell					Deal 2 damage.			Druid	
EX1_408	Mortal Strike	Spell	4				Deal $4 damage. If you have 12 or less Health, deal $6 instead.			Warrior	
EX1_105	Mountain Giant	Minion	12	8	8		Costs (1) less for each other card in your hand.				
EX1_509	Murloc Tidecaller	Minion	1	1	2		Whenever a Murloc is summoned, gain +1 Attack.				Murloc
EX1_507	Murloc Warleader	Minion	3	3	3		ALL other Murlocs have +2/+1.		Aura		Murloc
EX1_557	Nat Pagle	Minion	2	0	4		At the start of your turn, you have a 50% chance to draw an extra card.	Fishing			
EX1_161	Naturalize	Spell	1				Destroy a minion. Your opponent draws 2 cards.			Druid	
EX1_411e2	Needs Sharpening	Enchantment					Decreased Attack.			Warrior	
DREAM_05	Nightmare	Spell	0				Give a minion +5/+5. At the start of your next turn, destroy it.			Dream	
EX1_130	Noble Sacrifice	Spell	1				<b>Secret:</b> When an enemy attacks, summon a 2/1 Defender as the new target.		Secret	Paladin	
EX1_164a	Nourish	Spell					Gain 2 Mana Crystals.			Druid	
EX1_164	Nourish	Spell	5				<b>Choose One</b> - Gain 2 Mana Crystals; or Draw 3 cards.			Druid	
EX1_164b	Nourish	Spell					Draw 3 cards.			Druid	
EX1_560	Nozdormu	Minion	9	8	8		Players only have 15 seconds to take their turns.	Aspect of Time			Dragon
EX1_562	Onyxia	Minion	9	8	8		<b>Battlecry:</b> Summon 1/1 Whelps until your side of the battlefield is full.		Battlecry		Dragon
EX1_258e	Overloading	Enchantment					Increased stats.			Shaman	
EX1_160t	Panther	Minion	2	3	2					Druid	Beast
EX1_522	Patient Assassin	Minion	2	1	1		<b>Stealth</b>. Destroy any minion damaged by this minion.	Sharpening	Poisonous,Stealth	Rogue	
EX1_133	Perdition's Blade	Weapon	3	2		2	<b>Battlecry:</b> Deal 1 damage. <b>Combo:</b> Deal 2 instead.		Battlecry,Combo	Rogue	
EX1_076	Pint-Sized Summoner	Minion	2	2	2		The first minion you play each turn costs (1) less.	Ritual	Aura		
EX1_313	Pit Lord	Minion	4	5	6		<b>Battlecry:</b> Deal 5 damage to your hero.		Battlecry	Warlock	Demon
EX1_316e	Power Overwhelming	Enchantment					This minion has +4/+4, but will die a horrible death at the end of the turn.			Warlock	
EX1_316	Power Overwhelming	Spell	1				Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly.			Warlock	
EX1_612o	Power of the Kirin Tor	Enchantment					Your next Secret costs (0).		OneTurnEffect	Mage	
EX1_160	Power of the Wild	Spell	2				<b>Choose One</b> - Give your minions +1/+1; or Summon a 3/2 Panther.			Druid	
EX1_145o	Preparation	Enchantment					The next spell you cast this turn costs (3) less.		OneTurnEffect	Rogue	
EX1_145	Preparation	Spell	0				The next spell you cast this turn costs (3) less.			Rogue	
EX1_583	Priestess of Elune	Minion	6	5	4		<b>Battlecry:</b> Restore 4 Health to your hero.		Battlecry		
EX1_350	Prophet Velen	Minion	7	7	7		Double the damage and healing of your spells and Hero Power.			Priest	
EX1_279	Pyroblast	Spell	10				Deal $10 damage.			Mage	
EX1_044	Questing Adventurer	Minion	3	2	2		Whenever you play a card, gain +1/+1.	Questing			
EX1_412	Raging Worgen	Minion	3	3	3		<b>Enrage:</b> <b>Windfury</b> and +1 Attack		Enrage		
EX1_298	Ragnaros the Firelord	Minion	8	8	8		Can't Attack. At the end of your turn, deal 8 damage to a random enemy.				
CS2_104e	Rampage	Enchantment					+3/+3.			Warrior	
CS2_104	Rampage	Spell	2				Give a damaged minion +3/+3.			Warrior	
CS2_161	Ravenholdt Assassin	Minion	7	7	5		<b>Stealth</b>		Stealth		
EX1_274e	Raw Power!	Enchantment					Increased stats.			Mage	
EX1_136	Redemption	Spell	1				<b>Secret:</b> When one of your minions dies, return it to life with 1 Health.		Secret	Paladin	
EX1_379	Repentance	Spell	1				<b>Secret:</b> When your opponent plays a minion, reduce its Health to 1.		Secret	Paladin	
EX1_379e	Repentance	Enchantment					Health reduced to 1.			Paladin	
EX1_178a	Rooted	Spell					+5 Health and <b>Taunt</b>.			Druid	
EX1_178ae	Rooted	Enchantment					+5 Health and <b>Taunt</b>.			Druid	
EX1_134	SI:7 Agent	Minion	3	3	3		<b>Combo:</b> Deal 2 damage.		Combo	Rogue	
EX1_578	Savagery	Spell	1				Deal damage equal to your hero's Attack to a minion.		AffectedBySpellPower	Druid	
EX1_534	Savannah Highmane	Minion	6	6	5		<b>Deathrattle:</b> Summon two 2/2 Hyenas.	Master	Deathrattle	Hunter	Beast
EX1_020	Scarlet Crusader	Minion	3	3	1		<b>Divine Shield</b>		Divine Shield		
EX1_531	Scavenging Hyena	Minion	2	2	2		Whenever a friendly Beast dies, gain +2/+1.	Scavenging		Hunter	Beast
EX1_586	Sea Giant	Minion	10	8	8		Costs (1) less for each other minion on the battlefield.				
EX1_080	Secretkeeper	Minion	1	1	2		Whenever a <b>Secret</b> is played, gain +1/+1.	Firey			
EX1_317	Sense Demons	Spell	3				Put 2 random Demons from your deck into your hand.			Warlock	
EX1_334e	Shadow Madness	Enchantment					This minion has switched controllers this turn.			Priest	
EX1_334	Shadow Madness	Spell	4				Gain control of an enemy minion with 3 or less Attack until end of turn.			Priest	
EX1_345t	Shadow of Nothing	Minion	0	0	1		Mindgames whiffed! Your opponent had no minions!			Priest	
EX1_303	Shadowflame	Spell	4				Destroy a friendly minion and deal its Attack damage to all enemy minions.		AffectedBySpellPower	Warlock	
EX1_625	Shadowform	Spell	3				Your Hero Power becomes 'Deal 2 damage'. If already in Shadowform: 3 damage.			Priest	
EX1_144	Shadowstep	Spell	0				Return a friendly minion to your hand. It costs (2) less.			Rogue	
EX1_573b	Shan'do's Lesson	Spell					Summon two 2/2 Treants with <b>Taunt</b>.			Druid	
EX1_410	Shield Slam	Spell	1				Deal 1 damage to a minion for each Armor you have.		AffectedBySpellPower	Warrior	
EX1_405	Shieldbearer	Minion	1	0	4		<b>Taunt</b>		Taunt		
EX1_332	Silence	Spell	0				<b>Silence</b> a minion.		Silence	Priest	
CS2_151	Silver Hand Knight	Minion	5	4	4		<b>Battlecry:</b> Summon a 2/2 Squire.		Battlecry		
EX1_023	Silvermoon Guardian	Minion	4	3	3		<b>Divine Shield</b>		Divine Shield		
EX1_309	Siphon Soul	Spell	6				Destroy a minion. Restore #3 Health to your hero.			Warlock	
EX1_391	Slam	Spell	2				Deal $2 damage to a minion. If it survives, draw a card.			Warrior	
EX1_554t	Snake	Minion	0	1	1					Hunter	Beast
EX1_554	Snake Trap	Spell	2				<b>Secret:</b> When one of your minions is attacked, summon three 1/1 Snakes.		Secret	Hunter	
EX1_609	Snipe	Spell	2				<b>Secret:</b> When your opponent plays a minion, deal $4 damage to it.		Secret	Hunter	
EX1_608	Sorcerer's Apprentice	Minion	2	3	2		Your spells cost (1) less.		Aura	Mage	
EX1_158e	Soul of the Forest	Enchantment					Deathrattle: Summon a 2/2 Treant.			Druid	
EX1_158	Soul of the Forest	Spell	4				Give your minions \"<b>Deathrattle:</b> Summon a 2/2 Treant.\"			Druid	
NEW1_027	Southsea Captain	Minion	3	3	3		Your other Pirates have +1/+1.		Aura		Pirate
CS2_146	Southsea Deckhand	Minion	1	2	1		Has <b>Charge</b> while you have a weapon equipped.				Pirate
tt_010	Spellbender	Spell	3				<b>Secret:</b> When an enemy casts a spell on a minion, summon a 1/3 as the new target.		Secret	Mage	
tt_010a	Spellbender	Minion	0	1	3					Mage","cost":	
EX1_048	Spellbreaker	Minion	4	4	3		<b>Battlecry:</b> <b>Silence</b> a minion.		Battlecry		
EX1_tk11	Spirit Wolf	Minion	2	2	3		<b>Taunt</b>		Taunt	Shaman	
CS2_221	Spiteful Smith	Minion	5	4	6		<b>Enrage:</b> Your weapon has +2 Attack.	Summoning	Enrage		
NEW1_041	Stampeding Kodo	Minion	5	3	5		<b>Battlecry:</b> Destroy a random enemy minion with 2 or less Attack.		Battlecry		Beast
EX1_382e	Stand Down!	Enchantment					Attack changed to 1.			Paladin	
NEW1_007b	Starfall	Spell					Deal $5 damage to a minion.			Druid	
NEW1_007a	Starfall	Spell					Deal $2 damage to all enemy minions.			Druid	
NEW1_007	Starfall	Spell	5				<b>Choose One -</b> Deal $5 damage to a minion; or $2 damage to all enemy minions.			Druid	
EX1_247	Stormforged Axe	Weapon	2	2		3	<b>Overload:</b> (1)			Shaman	
EX1_028	Stranglethorn Tiger	Minion	5	5	5		<b>Stealth</b>		Stealth		Beast
EX1_160a	Summon a Panther	Spell					Summon a 3/2 Panther.			Druid	
EX1_315	Summoning Portal	Minion	4	0	4		Your minions cost (2) less, but not less than (1).	Summoning	Aura	Warlock	
EX1_058	Sunfury Protector	Minion	2	2	3		<b>Battlecry:</b> Give adjacent minions <b>Taunt</b>.		Battlecry		
EX1_032	Sunwalker	Minion	6	4	5		<b>Taunt</b>. <b>Divine Shield</b>		Divine Shield,Taunt		
EX1_366	Sword of Justice	Weapon	3	1		5	Whenever you summon a minion, give it +1/+1 and this loses 1 Durability.			Paladin	
EX1_016	Sylvanas Windrunner	Minion	6	5	5		<b>Deathrattle:</b> Take control of a random enemy minion.		Deathrattle		
EX1_390	Tauren Warrior	Minion	3	2	3		<b>Taunt</b>. <b>Enrage:</b> +3 Attack		Enrage,Taunt		
EX1_623	Temple Enforcer	Minion	6	6	6		<b>Battlecry:</b> Give a friendly minion +3 Health.		Battlecry	Priest	
EX1_577	The Beast	Minion	6	9	7		<b>Deathrattle:</b> Summon a 3/3 Finkle Einhorn for your opponent.		Deathrattle		Beast
EX1_002	The Black Knight	Minion	6	4	5		<b>Battlecry:</b> Destroy an enemy minion with <b>Taunt</b>.		Battlecry		
EX1_339	Thoughtsteal	Spell	3				Copy 2 cards from your opponent's deck and put them into your hand.			Priest	
EX1_021	Thrallmar Farseer	Minion	3	2	3		<b>Windfury</b>		Windfury		
EX1_083	Tinkmaster Overspark	Minion	3	3	3		<b>Battlecry:</b> Transform another random minion into a 5/5 Devilsaur or a 1/1 Squirrel.		Battlecry		
EX1_383	Tirion Fordring	Minion	8	6	6		<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.		Deathrattle,Divine Shield,Taunt	Paladin	
EX1_611e	Trapped	Enchantment					Will be <b>Frozen</b> again at the start of the next turn.			Hunter	
EX1_tk9	Treant	Minion	1	2	2		<b>Charge</b>.  At the end of the turn, destroy this minion.		Charge	Druid	
EX1_158t	Treant	Minion	1	2	2					Druid	
EX1_573t	Treant	Minion	1	2	2		<b>Taunt</b>		Taunt	Druid	
EX1_043	Twilight Drake	Minion	4	4	1		<b>Battlecry:</b> Gain +1 Health for each card in your hand.		Battlecry		Dragon
EX1_312	Twisting Nether	Spell	8				Destroy all minions.			Warlock	
EX1_258	Unbound Elemental	Minion	3	2	4		Whenever you play a card with <b>Overload</b>, gain +1/+1.			Shaman	
EX1_538	Unleash the Hounds	Spell	3				For each enemy minion, summon a 1/1 Hound with <b>Charge</b>.			Hunter	
EX1_409	Upgrade!	Spell	1				If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.			Warrior	
EX1_409e	Upgraded	Enchantment					+1 Attack and +1 Durability.			Warrior	
EX1_536e	Upgraded	Enchantment					Increased Durability.			Hunter	
EX1_178b	Uproot	Spell					+5 Attack.			Druid	
